"00BL001","Blackrod"
"00BL002","Horwich"
"00BL003","Westhoughton"
"00BN001","Ringway"
"00BP001","Saddleworth"
"00BP002","Shaw and Crompton"
"00BS001","Offerton Estate"
"00BT001","Mossley"
"00BU001","Carrington"
"00BU002","Dunham Massey"
"00BU003","Partington"
"00BU004","Warburton"
"00BW001","Haigh"
"00BW002","Shevington"
"00BW003","Worthington"
"00BX001","Cronton"
"00BX002","Halewood"
"00BX003","Knowsley"
"00BX004","Prescot"
"00BX006","Tarbock"
"00BX007","Whiston"
"00BZ001","Billinge Chapel End"
"00BZ002","Bold"
"00BZ003","Eccleston"
"00BZ004","Rainford"
"00BZ005","Rainhill"
"00BZ006","Seneley Green"
"00BZ007","Windle"
"00CA001","Aintree Village"
"00CA002","Ince Blundell"
"00CA003","Little Altcar"
"00CA004","Lydiate"
"00CA005","Maghull"
"00CA006","Melling"
"00CA007","Sefton"
"00CA008","Thornton"
"00CA009","Hightown"
"00CA010","Formby"
"00CC001","Billingley"
"00CC002","Brierley"
"00CC003","Cawthorne"
"00CC004","Dunford"
"00CC005","Great Houghton"
"00CC006","Gunthwaite and Ingbirchworth"
"00CC007","High Hoyland"
"00CC008","Hunshelf"
"00CC009","Langsett"
"00CC010","Little Houghton"
"00CC011","Oxspring"
"00CC012","Penistone"
"00CC013","Shafton"
"00CC014","Silkstone"
"00CC015","Stainborough"
"00CC016","Tankersley"
"00CC017","Thurgoland"
"00CC018","Wortley"
"00CE001","Adwick upon Dearne"
"00CE002","Armthorpe"
"00CE003","Askern"
"00CE004","Auckley"
"00CE005","Austerfield"
"00CE006","Barnburgh"
"00CE007","Barnby Dun with Kirk Sandall"
"00CE008","Bawtry"
"00CE009","Blaxton"
"00CE010","Braithwell"
"00CE011","Brodsworth"
"00CE012","Burghwallis"
"00CE013","Cadeby"
"00CE014","Cantley"
"00CE015","Clayton with Frickley"
"00CE016","Conisbrough Parks"
"00CE017","Denaby"
"00CE018","Edenthorpe"
"00CE019","Edlington"
"00CE020","Fenwick"
"00CE021","Finningley"
"00CE022","Fishlake"
"00CE023","Hampole"
"00CE024","Hatfield"
"00CE025","Hickleton"
"00CE026","High Melton"
"00CE027","Hooton Pagnell"
"00CE028","Kirk Bramwith"
"00CE029","Loversall"
"00CE030","Marr"
"00CE031","Moss"
"00CE032","Norton"
"00CE033","Owston"
"00CE034","Rossington"
"00CE035","Sprotbrough and Cusworth"
"00CE036","Stainforth"
"00CE037","Stainton"
"00CE038","Sykehouse"
"00CE039","Thorne"
"00CE040","Thorpe in Balne"
"00CE041","Tickhill"
"00CE042","Wadworth"
"00CE043","Warmsworth"
