"WD05CD","WD05NM"
"00AAFA","Aldersgate"
"00AAFB","Aldgate"
"00AAFC","Bassishaw"
"00AAFD","Billingsgate"
"00AAFE","Bishopsgate"
"00AAFF","Bread Street"
"00AAFG","Bridge & Bridge Without"
"00AAFH","Broad Street"
"00AAFJ","Candlewick"
"00AAFK","Castle Baynard"
"00AAFL","Cheap"
"00AAFM","Coleman Street"
"00AAFN","Cordwainer"
"00AAFP","Cornhill"
"00AAFQ","Cripplegate"
"00AAFR","Dowgate"
"00AAFS","Farringdon Within"
"00AAFT","Farringdon Without"
"00AAFU","Langbourn"
"00AAFW","Lime Street"
"00AAFX","Portsoken"
"00AAFY","Queenhithe"
"00AAFZ","Tower"
"00AAGA","Vintry"
"00AAGB","Walbrook"
"00ABFX","Abbey"
"00ABFY","Alibon"
"00ABFZ","Becontree"
"00ABGA","Chadwell Heath"
"00ABGB","Eastbrook"
"00ABGC","Eastbury"
"00ABGD","Gascoigne"
"00ABGE","Goresbrook"
"00ABGF","Heath"
"00ABGG","Longbridge"
"00ABGH","Mayesbrook"
"00ABGJ","Parsloes"
"00ABGK","River"
"00ABGL","Thames"
"00ABGM","Valence"
"00ABGN","Village"
"00ABGP","Whalebone"
"00ACFX","Brunswick Park"
"00ACFY","Burnt Oak"
"00ACFZ","Childs Hill"
"00ACGA","Colindale"
"00ACGB","Coppetts"
"00ACGC","East Barnet"
"00ACGD","East Finchley"
"00ACGE","Edgware"
"00ACGF","Finchley Church End"
"00ACGG","Garden Suburb"
"00ACGH","Golders Green"
"00ACGJ","Hale"
"00ACGK","Hendon"
"00ACGL","High Barnet"
"00ACGM","Mill Hill"
"00ACGN","Oakleigh"
"00ACGP","Totteridge"
"00ACGQ","Underhill"
"00ACGR","West Finchley"
"00ACGS","West Hendon"
"00ACGT","Woodhouse"
"00ADGA","Barnehurst"
"00ADGB","Belvedere"
"00ADGC","Blackfen and Lamorbey"
"00ADGD","Blendon and Penhill"
"00ADGE","Brampton"
"00ADGF","Christchurch"
"00ADGG","Colyers"
"00ADGH","Crayford"
"00ADGJ","Cray Meadows"
"00ADGK","Danson Park"
"00ADGL","East Wickham"
"00ADGM","Erith"
"00ADGN","Falconwood and Welling"
"00ADGP","Lesnes Abbey"
"00ADGQ","Longlands"
"00ADGR","North End"
"00ADGS","Northumberland Heath"
"00ADGT","St Mary's"
"00ADGU","St Michael's"
"00ADGW","Sidcup"
"00ADGX","Thamesmead East"
"00AEGJ","Alperton"
"00AEGK","Barnhill"
"00AEGL","Brondesbury Park"
"00AEGM","Dollis Hill"
"00AEGN","Dudden Hill"
"00AEGP","Fryent"
"00AEGQ","Harlesden"
"00AEGR","Kensal Green"
"00AEGS","Kenton"
"00AEGT","Kilburn"
"00AEGU","Mapesbury"
"00AEGW","Northwick Park"
"00AEGX","Preston"
"00AEGY","Queens Park"
"00AEGZ","Queensbury"
"00AEHA","Stonebridge"
"00AEHB","Sudbury"
"00AEHC","Tokyngton"
"00AEHD","Welsh Harp"
"00AEHE","Wembley Central"
"00AEHF","Willesden Green"
"00AFGD","Bickley"
"00AFGE","Biggin Hill"
"00AFGF","Bromley Common and Keston"
"00AFGG","Bromley Town"
"00AFGH","Chelsfield and Pratts Bottom"
"00AFGJ","Chislehurst"
"00AFGK","Clock House"
"00AFGL","Copers Cope"
"00AFGM","Cray Valley East"
"00AFGN","Cray Valley West"
"00AFGP","Crystal Palace"
"00AFGQ","Darwin"
"00AFGR","Farnborough and Crofton"
"00AFGS","Hayes and Coney Hall"
"00AFGT","Kelsey and Eden Park"
"00AFGU","Mottingham and Chislehurst North"
"00AFGW","Orpington"
"00AFGX","Penge and Cator"
"00AFGY","Petts Wood and Knoll"
"00AFGZ","Plaistow and Sundridge"
"00AFHA","Shortlands"
"00AFHB","West Wickham"
"00AGGD","Belsize"
"00AGGE","Bloomsbury"
"00AGGF","Camden Town with Primrose Hill"
"00AGGG","Cantelowes"
"00AGGH","Fortune Green"
"00AGGJ","Frognal and Fitzjohns"
"00AGGK","Gospel Oak"
"00AGGL","Hampstead Town"
"00AGGM","Haverstock"
"00AGGN","Highgate"
"00AGGP","Holborn and Covent Garden"
"00AGGQ","Kentish Town"
"00AGGR","Kilburn"
"00AGGS","King's Cross"
"00AGGT","Regent's Park"
"00AGGU","St Pancras and Somers Town"
"00AGGW","Swiss Cottage"
"00AGGX","West Hampstead"
"00AHGE","Addiscombe"
"00AHGF","Ashburton"
"00AHGG","Bensham Manor"
"00AHGH","Broad Green"
"00AHGJ","Coulsdon East"
"00AHGK","Coulsdon West"
"00AHGL","Croham"
"00AHGM","Fairfield"
"00AHGN","Fieldway"
"00AHGP","Heathfield"
"00AHGQ","Kenley"
"00AHGR","New Addington"
"00AHGS","Norbury"
"00AHGT","Purley"
"00AHGU","Sanderstead"
"00AHGW","Selhurst"
"00AHGX","Selsdon and Ballards"
"00AHGY","Shirley"
"00AHGZ","South Norwood"
"00AHHA","Thornton Heath"
"00AHHB","Upper Norwood"
"00AHHC","Waddon"
"00AHHD","West Thornton"
"00AHHE","Woodside"
"00AJGC","Acton Central"
"00AJGD","Cleveland"
"00AJGE","Dormers Wells"
"00AJGF","Ealing Broadway"
"00AJGG","Ealing Common"
"00AJGH","East Acton"
"00AJGJ","Elthorne"
"00AJGK","Greenford Broadway"
"00AJGL","Greenford Green"
"00AJGM","Hanger Hill"
"00AJGN","Hobbayne"
"00AJGP","Lady Margaret"
"00AJGQ","Northfield"
"00AJGR","North Greenford"
"00AJGS","Northolt Mandeville"
"00AJGT","Northolt West End"
"00AJGU","Norwood Green"
"00AJGW","Perivale"
"00AJGX","South Acton"
"00AJGY","Southall Broadway"
"00AJGZ","Southall Green"
"00AJHA","Southfield"
"00AJHB","Walpole"
"00AKGL","Bowes"
"00AKGM","Bush Hill Park"
"00AKGN","Chase"
"00AKGP","Cockfosters"
"00AKGQ","Edmonton Green"
"00AKGR","Enfield Highway"
"00AKGS","Enfield Lock"
"00AKGT","Grange"
"00AKGU","Haselbury"
"00AKGW","Highlands"
"00AKGX","Jubilee"
"00AKGY","Lower Edmonton"
"00AKGZ","Palmers Green"
"00AKHA","Ponders End"
"00AKHB","Southbury"
"00AKHC","Southgate"
"00AKHD","Southgate Green"
"00AKHE","Town"
"00AKHF","Turkey Street"
"00AKHG","Upper Edmonton"
"00AKHH","Winchmore Hill"
"00ALGP","Abbey Wood"
"00ALGQ","Blackheath Westcombe"
"00ALGR","Charlton"
"00ALGS","Coldharbour and New Eltham"
"00ALGT","Eltham North"
"00ALGU","Eltham South"
"00ALGW","Eltham West"
"00ALGX","Glyndon"
"00ALGY","Greenwich West"
"00ALGZ","Kidbrooke with Hornfair"
"00ALHA","Middle Park and Sutcliffe"
"00ALHB","Peninsula"
"00ALHC","Plumstead"
"00ALHD","Shooters Hill"
"00ALHE","Thamesmead Moorings"
"00ALHF","Woolwich Common"
"00ALHG","Woolwich Riverside"
"00AMGA","Brownswood"
"00AMGB","Cazenove"
"00AMGC","Chatham"
"00AMGD","Clissold"
"00AMGE","Dalston"
"00AMGF","De Beauvoir"
"00AMGG","Hackney Central"
"00AMGH","Hackney Downs"
"00AMGJ","Haggerston"
"00AMGK","Hoxton"
"00AMGL","King's Park"
"00AMGM","Leabridge"
"00AMGN","Lordship"
"00AMGP","New River"
"00AMGQ","Queensbridge"
"00AMGR","Springfield"
